bin,normalized_position,layer,subspace_rank,mean_complied,mean_refused,mean_diff,cohens_d
7,0.75,22,0,-0.772521,-0.729602,-0.042919,-0.026534
7,0.75,22,1,-4.621401,-4.89257,0.271169,0.122302
7,0.75,22,2,-4.733117,-5.12335,0.390233,0.183221
7,0.75,22,3,-7.756203,-7.62123,-0.134973,-0.052763
7,0.75,22,4,-9.827231,-9.766016,-0.061215,-0.019561
7,0.75,26,0,-1.802269,-1.944375,0.142106,0.039527
7,0.75,26,1,-8.2308,-8.71131,0.48051,0.155385
7,0.75,26,2,-7.446453,-8.287313,0.84086,0.241337
7,0.75,26,3,-12.106996,-11.847933,-0.259063,-0.067261
7,0.75,26,4,-15.526389,-15.378798,-0.147591,-0.034683
7,0.75,28,0,-2.131085,-2.442717,0.311632,0.061729
7,0.75,28,1,-11.193634,-11.764344,0.57071,0.138778
7,0.75,28,2,-10.165805,-11.413761,1.247956,0.260579
7,0.75,28,3,-15.848817,-15.641719,-0.207098,-0.038108
7,0.75,28,4,-20.377769,-20.302552,-0.075217,-0.012774
7,0.75,29,0,-1.685801,-2.254999,0.569198,0.097464
7,0.75,29,1,-12.923548,-13.51231,0.588762,0.121444
7,0.75,29,2,-11.018971,-12.752027,1.733056,0.309457
7,0.75,29,3,-18.776818,-18.730216,-0.046602,-0.007362
7,0.75,29,4,-24.477561,-24.611215,0.133654,0.01959
8,0.85,2,0,0.114795,0.102856,0.011939,0.069371
8,0.85,2,1,-0.370277,-0.453135,0.082858,0.250138
8,0.85,2,2,-0.508578,-0.501826,-0.006752,-0.035516
8,0.85,2,3,-0.532656,-0.565453,0.032797,0.128854
8,0.85,2,4,-0.901107,-0.940036,0.038929,0.130956
8,0.85,22,0,-0.76199,-0.656431,-0.105559,-0.061127
8,0.85,22,1,-4.605365,-5.031742,0.426377,0.073717
8,0.85,22,2,-4.806779,-5.11354,0.306761,0.071455
8,0.85,22,3,-7.784347,-7.661811,-0.122536,-0.015499
8,0.85,22,4,-9.88729,-9.867298,-0.019992,-0.001891
8,0.85,26,0,-1.709836,-1.769207,0.059371,0.016139
8,0.85,26,1,-8.129879,-8.869125,0.739246,0.119728
8,0.85,26,2,-7.514087,-8.174523,0.660436,0.128907
8,0.85,26,3,-12.079776,-11.885884,-0.193892,-0.023058
8,0.85,26,4,-15.520553,-15.482647,-0.037906,-0.003459
8,0.85,28,0,-1.973053,-2.253394,0.280341,0.054878
8,0.85,28,1,-10.960154,-11.932987,0.972833,0.144915
8,0.85,28,2,-10.198851,-11.223643,1.024792,0.168441
8,0.85,28,3,-15.717331,-15.664828,-0.052503,-0.005713
8,0.85,28,4,-20.270114,-20.400612,0.130498,0.011219
8,0.85,29,0,-1.486369,-2.062332,0.575963,0.097262
8,0.85,29,1,-12.695302,-13.724905,1.029603,0.143758
8,0.85,29,2,-11.042786,-12.573919,1.531133,0.22618
8,0.85,29,3,-18.644252,-18.817732,0.17348,0.017865
8,0.85,29,4,-24.363181,-24.784629,0.421448,0.034878
9,0.95,2,0,0.116076,0.096506,0.01957,0.114663
9,0.95,2,1,-0.374884,-0.450598,0.075714,0.227288
9,0.95,2,2,-0.506351,-0.505966,-0.000385,-0.002042
9,0.95,2,3,-0.533901,-0.57374,0.039839,0.157179
9,0.95,2,4,-0.902719,-0.948405,0.045686,0.154682
9,0.95,22,0,-0.814503,-0.709118,-0.105385,-0.061484
9,0.95,22,1,-4.681642,-4.974028,0.292386,0.052765
9,0.95,22,2,-4.902222,-5.227371,0.325149,0.078383
9,0.95,22,3,-7.808979,-7.673911,-0.135068,-0.01786
9,0.95,22,4,-9.922005,-9.867723,-0.054282,-0.005373
9,0.95,26,0,-1.763086,-1.875529,0.112443,0.030226
9,0.95,26,1,-8.254606,-8.732079,0.477473,0.080245
9,0.95,26,2,-7.622037,-8.349834,0.727797,0.145225
9,0.95,26,3,-12.104468,-11.856083,-0.248385,-0.030662
9,0.95,26,4,-15.547512,-15.418425,-0.129087,-0.012289
9,0.95,28,0,-1.963015,-2.381439,0.418424,0.080579
9,0.95,28,1,-11.12237,-11.748719,0.626349,0.096144
9,0.95,28,2,-10.215125,-11.473541,1.258416,0.209243
9,0.95,28,3,-15.685401,-15.55697,-0.128431,-0.01435
9,0.95,28,4,-20.237371,-20.221861,-0.01551,-0.001382
9,0.95,29,0,-1.459349,-2.207543,0.748194,0.124408
9,0.95,29,1,-12.904592,-13.523778,0.619186,0.088576
9,0.95,29,2,-11.059593,-12.789701,1.730108,0.258348
9,0.95,29,3,-18.627223,-18.708383,0.08116,0.008545
9,0.95,29,4,-24.368539,-24.559638,0.191099,0.016339
