layer,head,component,succ_mean,fail_mean,delta,n_succ,n_fail
2,11,benign_puzzle_scaffold,0.628333367789801,0.5091729760338191,0.11916039175598192,7,33
2,11,final_answer_cue,0.15401389962395431,0.2639429737836303,-0.10992907415967598,7,33
2,11,harmful_instruction,0.0,0.00027921058092803924,-0.00027921058092803924,7,33
2,11,injected_reasoning,0.0,0.0006301677864091622,-0.0006301677864091622,7,33
2,12,benign_puzzle_scaffold,0.5275206473330323,0.3894092262494249,0.13811142108360736,7,33
2,12,final_answer_cue,0.2504958617632481,0.3799138486523727,-0.1294179868891246,7,33
2,12,harmful_instruction,0.0,0.0005920711493093559,-0.0005920711493093559,7,33
2,12,injected_reasoning,0.0,0.00015280750806919593,-0.00015280750806919593,7,33
2,13,benign_puzzle_scaffold,0.5252548483931154,0.3855307631324324,0.13972408526068303,7,33
2,13,final_answer_cue,0.2408120376840974,0.37974800430623146,-0.13893596662213406,7,33
2,13,harmful_instruction,0.0,0.00046584536544404975,-0.00046584536544404975,7,33
2,13,injected_reasoning,0.0,9.483273164080275e-05,-9.483273164080275e-05,7,33
2,14,benign_puzzle_scaffold,0.6413221879967868,0.5158586696570828,0.12546351833970393,7,33
2,14,final_answer_cue,0.14419780076144523,0.26291836772249283,-0.1187205669610476,7,33
2,14,harmful_instruction,0.0,0.00011733037012980291,-0.00011733037012980291,7,33
2,14,injected_reasoning,0.0,0.0007706903496604873,-0.0007706903496604873,7,33
2,15,benign_puzzle_scaffold,0.5912177091795224,0.4774589028111916,0.11375880636833086,7,33
2,15,final_answer_cue,0.16218657479754486,0.26420284329067084,-0.10201626849312598,7,33
2,15,harmful_instruction,0.0,0.0003019360590981632,-0.0003019360590981632,7,33
2,15,injected_reasoning,0.0,5.842516311613888e-05,-5.842516311613888e-05,7,33
2,16,benign_puzzle_scaffold,0.6292646931678696,0.520974149218607,0.10829054394926263,7,33
2,16,final_answer_cue,0.12459728414028634,0.22154650419332544,-0.0969492200530391,7,33
2,16,harmful_instruction,0.0,0.000108484521140404,-0.000108484521140404,7,33
2,16,injected_reasoning,0.0,0.0002444496270579845,-0.0002444496270579845,7,33
2,17,benign_puzzle_scaffold,0.605035005591568,0.4829927417938939,0.12204226379767408,7,33
2,17,final_answer_cue,0.15853773376094463,0.2629087644080733,-0.10437103064712869,7,33
2,17,harmful_instruction,0.0,0.00019825508319234802,-0.00019825508319234802,7,33
2,17,injected_reasoning,0.0,8.189249563535297e-05,-8.189249563535297e-05,7,33
2,18,benign_puzzle_scaffold,0.5567067740097137,0.43201526958421155,0.12469150442550214,7,33
2,18,final_answer_cue,0.20234700173685374,0.3134716386833801,-0.11112463694652638,7,33
