step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
233,0,D,False,0.0,0.449,0.1788,0.1929,0.1793,-0.2604,0.2344,,stage4_8,cost_asr
234,0,F,False,0.0,0.4507,0.179,0.1909,0.1794,-0.2344,0.211,,stage4_8,cost_asr
235,0,A,False,0.0,0.4488,0.1796,0.1916,0.18,-0.211,0.1899,,stage4_8,cost_asr
236,1,A,False,0.0,0.2874,0.2375,0.2153,0.2599,-0.1137,0.1023,,stage4_8,cost_asr
237,3,E,True,1.0,0.2741,0.2297,0.2581,0.2381,0.1415,0.8727,,stage4_7,cost_asr
238,1,A,False,0.0,0.2864,0.2378,0.2155,0.2603,-0.1023,0.0921,,stage4_8,cost_asr
239,3,F,False,0.0,0.2774,0.232,0.2499,0.2407,-0.8727,0.7854,,stage4_7,cost_asr
240,3,F,True,1.0,0.2766,0.2314,0.2519,0.24,0.2146,0.8069,,stage4_8,cost_asr
241,0,A,False,0.0,0.4471,0.1801,0.1922,0.1806,-0.1899,0.1709,,stage4_8,cost_asr
242,1,F,False,0.0,0.2867,0.238,0.2147,0.2606,-0.0921,0.0829,,stage4_8,cost_asr
243,1,D,True,1.0,0.2831,0.2466,0.2127,0.2576,0.9171,0.1746,14.812,stage4_7,cost_asr
244,3,E,True,1.0,0.2759,0.2309,0.2513,0.2418,0.1931,0.8262,,stage4_7,cost_asr
245,2,A,True,1.0,0.2609,0.2842,0.2144,0.2405,0.4616,0.5846,5.957,stage4_7,cost_asr
246,1,F,False,0.0,0.2837,0.247,0.2112,0.2581,-0.1746,0.1571,,stage4_8,cost_asr
247,1,A,True,1.0,0.2919,0.2441,0.209,0.2549,0.8429,0.2414,8.848,stage4_7,cost_asr
