step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
211,1,D,False,0.0,0.2782,0.2334,0.2288,0.2597,-0.0519,0.0467,,stage4_8,cost_l22_deflect
212,2,F,True,1.0,0.2759,0.2762,0.2523,0.1955,0.2563,0.7694,,stage4_8,cost_l22_deflect
213,1,A,True,1.2347,0.2898,0.2297,0.2252,0.2552,1.188,0.1655,4.398,stage4_7,cost_l22_deflect
214,1,D,False,0.0,0.2905,0.2282,0.2256,0.2557,-0.1655,0.149,,stage4_8,cost_l22_deflect
215,1,A,True,1.2347,0.3012,0.2249,0.2223,0.2516,1.0857,0.2575,4.398,stage4_7,cost_l22_deflect
216,2,A,True,1.0,0.2782,0.2753,0.2515,0.195,0.2306,0.7924,,stage4_8,cost_l22_deflect
217,0,A,True,1.0,0.395,0.2075,0.2182,0.1793,0.7899,0.2891,,stage4_8,cost_l22_deflect
218,2,F,True,1.0,0.2774,0.2745,0.2535,0.1946,0.2076,0.8132,,stage4_8,cost_l22_deflect
219,2,E,False,0.0,0.2798,0.2769,0.2555,0.1879,-0.8132,0.7319,,stage4_7,cost_l22_deflect
220,0,A,False,0.0,0.3922,0.2084,0.2193,0.1801,-0.2891,0.2602,,stage4_8,cost_l22_deflect
221,0,A,False,0.1875,0.3915,0.2087,0.2196,0.1803,-0.0727,0.2529,5.045,stage4_7,cost_l22_deflect
222,2,F,True,0.8806,0.2792,0.2763,0.2569,0.1876,0.1488,0.7467,9.255,stage4_7,cost_l22_deflect
223,3,D,True,0.9577,0.2757,0.2628,0.2022,0.2592,0.1272,0.8433,8.197,stage4_7,cost_l22_deflect
224,2,E,False,0.0,0.2814,0.2784,0.2587,0.1815,-0.7467,0.6721,,stage4_7,cost_l22_deflect
225,3,D,True,1.0,0.2751,0.2643,0.2019,0.2587,0.1567,0.8589,,stage4_8,cost_l22_deflect
