step,goal_idx,condition,sr_success,reward_total,prob_A,prob_D,prob_F,prob_E,advantage,baseline,l22_think_phase,data_source,variant
180,1,E,True,1.0,0.2733,0.2306,0.2287,0.2674,1.0005,0.0996,,stage4_7,cost_l22_deflect
181,2,D,True,1.0,0.2339,0.3179,0.2299,0.2182,0.2556,0.77,,stage4_8,cost_l22_deflect
182,2,A,True,1.0971,0.2369,0.3164,0.2292,0.2175,0.3272,0.8027,6.285,stage4_7,cost_l22_deflect
183,0,F,False,-0.0654,0.3585,0.2155,0.2232,0.2028,-0.3003,0.2049,8.514,stage4_7,cost_l22_deflect
184,0,A,True,1.0,0.3663,0.2129,0.2204,0.2004,0.7951,0.2844,,stage4_8,cost_l22_deflect
185,2,D,True,0.9734,0.2363,0.3181,0.2286,0.217,0.1707,0.8197,7.982,stage4_7,cost_l22_deflect
186,1,A,False,0.0,0.2723,0.2309,0.229,0.2678,-0.0996,0.0896,,stage4_8,cost_l22_deflect
187,0,A,False,0.0,0.3635,0.2138,0.2214,0.2013,-0.2844,0.256,,stage4_8,cost_l22_deflect
188,0,F,False,0.0,0.365,0.2142,0.219,0.2017,-0.256,0.2304,,stage4_8,cost_l22_deflect
189,2,E,True,1.0,0.2359,0.3173,0.2282,0.2186,0.1803,0.8378,,stage4_7,cost_l22_deflect
190,3,D,True,0.9577,0.3107,0.246,0.2474,0.1958,0.1777,0.7978,8.197,stage4_7,cost_l22_deflect
191,3,A,True,1.0,0.3127,0.2453,0.2467,0.1953,0.2022,0.818,,stage4_8,cost_l22_deflect
192,1,A,False,0.0,0.2715,0.2312,0.2292,0.2681,-0.0896,0.0807,,stage4_8,cost_l22_deflect
193,3,A,True,1.0,0.3145,0.2446,0.246,0.1949,0.182,0.8362,,stage4_8,cost_l22_deflect
194,1,F,False,0.0,0.2717,0.2314,0.2285,0.2684,-0.0807,0.0726,,stage4_8,cost_l22_deflect
195,1,D,False,0.0,0.272,0.2307,0.2287,0.2686,-0.0726,0.0653,,stage4_8,cost_l22_deflect
196,3,A,True,0.9206,0.3154,0.2443,0.2457,0.1947,0.0844,0.8447,8.706,stage4_7,cost_l22_deflect
197,0,D,False,0.0,0.3663,0.2122,0.2195,0.202,-0.2304,0.2073,,stage4_8,cost_l22_deflect
198,2,D,True,0.9734,0.2354,0.3186,0.2277,0.2182,0.1356,0.8513,7.982,stage4_7,cost_l22_deflect
199,3,D,False,0.0929,0.3189,0.2373,0.2478,0.196,-0.7518,0.7695,6.343,stage4_7,cost_l22_deflect
200,1,E,False,0.0,0.2722,0.2309,0.2289,0.268,-0.0653,0.0588,,stage4_7,cost_l22_deflect
